ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,ADM1ALT1EN,AREA_SQKM
Region I (Ilocos Region),PH01,Philippines (the),PH,2022/11/09,2023/11/06,,14.99504978410,1.04398315362,Ilocos Region,12307.35082820000
Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,19.13904847560,2.24181168489,Cagayan Valley,26387.72955530000
Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,15.94956253070,1.79351268457,Central Luzon,21304.15551890000
Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,27.62549393080,1.32671969961,Calabarzon,15846.63055920000
Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,44.92324346000,1.44632425752,Bicol Region,17338.37553310000
Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,27.77414511610,1.65759113431,Western Visayas,20047.62500030000
Region VII (Central Visayas),PH07,Philippines (the),PH,2022/11/09,2023/11/06,,29.11310523650,1.17843139506,Central Visayas,14293.65784580000
Region VIII (Eastern Visayas),PH08,Philippines (the),PH,2022/11/09,2023/11/06,,42.02116071990,1.72680414368,Eastern Visayas,20835.67513140000
Region IX (Zamboanga Peninsula),PH09,Philippines (the),PH,2022/11/09,2023/11/06,,23.18144145820,1.19667723147,Zamboanga Peninsula,14596.05356420000
Region X (Northern Mindanao),PH10,Philippines (the),PH,2022/11/09,2023/11/06,,15.00295326180,1.43511480422,Northern Mindanao,17489.28665990000
Region XI (Davao Region),PH11,Philippines (the),PH,2022/11/09,2023/11/06,,17.93422190890,1.53997149414,Davao Region,18808.87796820000
Region XII (Soccsksargen),PH12,Philippines (the),PH,2022/11/09,2023/11/06,,14.40225601880,1.41958211819,Soccsksargen,17361.05387220000
National Capital Region (NCR),PH13,Philippines (the),PH,2022/11/09,2023/11/06,,2.30358396857,0.05020720553,NCR,598.53957303300
Cordillera Administrative Region (CAR),PH14,Philippines (the),PH,2022/11/09,2023/11/06,,8.02745436247,1.54671209831,CAR,18192.64405160000
Region XIII (Caraga),PH16,Philippines (the),PH,2022/11/09,2023/11/06,,28.16674314050,1.54082032596,Caraga,18747.16576220000
Mimaropa Region,PH17,Philippines (the),PH,2022/11/09,2023/11/06,,78.79532960630,2.22037439695,,26797.81761850000
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Philippines (the),PH,2022/11/09,2023/11/06,,55.20653635920,1.10175702961,BARMM,13463.12371590000
