ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
Region VII,PH070000000,"70000000",2019-12-31,3205930.229,14293657845.000,123.615,9.921
Region VI,PH060000000,"60000000",2019-12-31,3033678.117,20042119432.000,122.651,10.844
Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"150000000",2019-12-31,5932722.500,12834186023.000,123.367,6.947
Cordillera Administrative Region,PH140000000,"140000000",2019-12-31,873012.878,18192644049.000,121.039,17.355
National Capital Region,PH130000000,"130000000",2019-12-31,253627.782,598650102.800,121.032,14.606
Region I,PH010000000,"10000000",2019-12-31,1632853.395,12307350830.000,120.484,16.907
Region II,PH020000000,"20000000",2019-12-31,2071974.767,26387729555.000,121.732,17.207
Region III,PH030000000,"30000000",2019-12-31,1739247.236,21304155518.000,120.823,15.392
Region IV-A,PH040000000,"40000000",2019-12-31,3019032.066,15846520068.000,121.567,14.162
Region IV-B,PH170000000,"170000000",2019-12-31,8661995.346,26797817618.000,119.906,11.359
Region IX,PH090000000,"90000000",2019-12-31,2560995.195,14596048467.000,122.848,7.826
Region V,PH050000000,"50000000",2019-12-31,4917962.098,17338375536.000,123.472,13.274
Region VIII,PH080000000,"80000000",2019-12-31,4616016.122,20835675129.000,124.953,11.537
Region X,PH100000000,"100000000",2019-12-31,1657270.815,17489291757.000,124.674,8.187
Region XI,PH110000000,"110000000",2019-12-31,1982676.485,18808877958.000,125.827,7.210
Region XII,PH120000000,"120000000",2019-12-31,1463016.962,17989991565.000,124.813,6.601
Region XIII,PH160000000,"160000000",2019-12-31,3104608.438,18747165773.000,125.791,8.813
